Status,Life_expectancy ,Adult_Mortality,Alcohol,Total_expenditure,Hepatitis_B, BMI ,Income_composition_of_resources,Schooling,Population
Developing,65,263,0.01,8.16,65,19.1,0.479,10.1,33736494
Developing,59.9,271,0.01,8.18,62,18.6,0.476,10,327582
Developing,59.9,268,0.01,8.13,64,18.1,0.47,9.9,31731688
Developing,59.5,272,0.01,8.52,67,17.6,0.463,9.8,3696958
Developing,59.2,275,0.01,7.87,68,17.2,0.454,9.5,2978599
Developing,58.8,279,0.01,9.2,66,16.7,0.448,9.2,2883167
Developing,58.6,281,0.01,9.42,63,16.2,0.434,8.9,284331
Developing,58.1,287,0.03,8.33,64,15.7,0.433,8.7,2729431
Developing,57.5,295,0.02,6.73,63,15.2,0.415,8.4,26616792
Developing,57.3,295,0.03,7.43,64,14.7,0.405,8.1,2589345
Developing,57.3,291,0.02,8.7,66,14.2,0.396,7.9,257798
Developing,57,293,0.02,8.79,67,13.8,0.381,6.8,24118979
Developing,56.7,295,0.01,8.82,65,13.4,0.373,6.5,2364851
Developing,56.2,3,0.01,7.76,64,13,0.341,6.2,21979923
Developing,55.3,316,0.01,7.8,63,12.6,0.34,5.9,2966463
Developing,54.8,321,0.01,8.2,62,12.2,0.338,5.5,293756
Developing,77.8,74,4.6,6,99,58,0.762,14.2,28873
Developing,77.5,8,4.51,5.88,98,57.2,0.761,14.2,288914
Developing,77.2,84,4.76,5.66,99,56.5,0.759,14.2,289592
Developing,76.9,86,5.14,5.59,99,55.8,0.752,14.2,2941
Developing,76.6,88,5.37,5.71,99,55.1,0.738,13.3,295195
Developing,76.2,91,5.28,5.34,99,54.3,0.725,12.5,291321
Developing,76.1,91,5.79,5.79,98,53.5,0.721,12.2,2927519
Developing,75.3,1,5.61,5.87,99,52.6,0.713,12,2947314
Developing,75.9,9,5.58,6.1,98,51.7,0.703,11.6,29717
Developing,74.2,99,5.31,5.86,98,5.8,0.696,11.4,2992547
Developing,73.5,15,5.16,6.12,98,49.9,0.685,10.8,311487
Developing,73,17,4.54,6.38,99,48.9,0.681,10.9,326939
Developing,72.8,18,4.29,6.27,97,47.9,0.674,10.7,339616
Developing,73.3,15,3.73,6.3,96,46.9,0.67,10.7,3511
Developing,73.6,14,4.25,6,96,46,0.662,10.6,36173
Developing,72.6,11,3.66,6.26,96,45,0.656,10.7,38927
Developing,75.6,19,,,95,59.5,0.743,14.4,39871528
Developing,75.4,11,0.01,7.21,95,58.4,0.741,14.4,39113313
Developing,75.3,112,0.53,7.12,95,57.2,0.737,14.4,38338562
Developing,75.1,113,0.66,6.14,95,56.1,0.732,14.4,37565847
Developing,74.9,116,0.56,5.29,95,55,0.724,14,36819558
Developing,74.7,119,0.45,5.12,95,53.9,0.714,13.6,36117637
Developing,74.4,123,0.5,5.36,94,52.8,0.705,13.1,3546576
Developing,74.1,126,0.46,4.2,91,51.8,0.697,12.6,3486715
Developing,73.8,129,0.44,3.82,9,5.8,0.69,12.3,34376
Developing,73.4,132,0.36,3.36,8,49.8,0.686,12.3,33777915
Developing,72.9,136,0.5,3.24,83,48.9,0.68,12,33288437
Developing,72.3,14,0.45,3.54,81,47.9,0.673,11.7,3283196
Developing,71.7,146,0.34,3.6,,47,0.663,11.5,3243514
Developing,71.6,145,0.36,3.73,,46.1,0.653,11.1,3199546
Developing,71.4,145,0.23,3.84,,45.3,0.644,10.9,31592153
Developing,71.3,145,0.25,3.49,,44.4,0.636,10.7,3118366
Developing,52.4,335,,,64,23.3,0.531,11.4,2785935
Developing,51.7,348,8.33,3.31,64,22.7,0.527,11.4,2692466
Developing,51.1,355,8.1,4.26,77,22.1,0.523,11.4,2599834
Developing,56,358,8.24,3.3,75,21.5,0.508,10.3,259615
Developing,51,361,8.06,3.38,72,21,0.495,9.4,24218565
Developing,49.6,365,7.8,3.39,77,2.4,0.488,9,23369131
Developing,49.1,369,7.01,4.37,61,19.8,0.48,8.5,22549547
Developing,48.7,371,7.07,3.84,69,19.3,0.468,8.1,2175942
Developing,48.2,375,6.35,3.38,73,18.8,0.454,7.7,2997687
Developing,47.7,381,5.84,4.54,,18.2,0.439,7.2,2262399
Developing,47.4,382,5.04,4.1,,17.7,0.426,6.8,19552542
Developing,47.1,386,3.53,4.71,,17.2,0.415,6.4,18865716
Developing,46.8,388,3.49,4.41,,16.8,0.406,5.9,1823369
Developing,46.5,391,2.82,3.63,,16.3,0.401,5.5,17572649
Developing,45.7,44,2.58,5.38,,15.8,0.391,5.1,16983266
Developing,45.3,48,1.85,2.79,,15.4,0.382,4.6,1644924
Developing,76.4,13,,,99,47.7,0.784,13.9,
Developing,76.2,131,8.56,5.54,99,47,0.782,13.9,
Developing,76.1,133,8.58,5.33,99,46.4,0.781,13.9,
Developing,75.9,134,8.18,5.39,98,45.7,0.778,13.8,
Developing,75.7,136,7.84,5.65,99,45.1,0.782,14.1,
Developing,75.6,138,7.84,5.63,98,44.4,0.783,14.1,
Developing,75.4,14,7.82,4.86,98,43.8,0.788,14.2,
Developing,75.2,142,8.27,4.69,98,43.2,0.786,14.4,
Developing,75,144,8.64,4.27,97,42.6,0.781,14.5,
Developing,74.8,145,8.93,4.34,99,42,0.773,14.7,
Developing,74.6,147,8.15,4.41,99,41.4,0,0,
Developing,74.4,149,7.28,4.21,97,4.8,0,0,
Developing,74.2,151,7.16,4.53,99,4.1,0,0,
Developing,74,153,7.21,4.41,99,39.5,0,0,
Developing,73.8,154,7.51,4.48,96,38.9,0,0,
Developing,73.6,156,7.27,4.13,,38.2,0,0,
Developing,76.3,116,,,94,62.8,0.826,17.3,43417765
Developing,76.2,118,7.93,4.79,94,62.2,0.825,17.3,42981515
Developing,76,119,8.28,4.99,94,61.6,0.823,17.3,42539925
Developing,75.9,12,8.35,5.2,91,61,0.822,17.2,4296739
Developing,75.7,12,8.11,5.89,91,6.4,0.816,17.1,41656879
Developing,75.5,121,8.15,6.55,94,59.8,0.802,16.8,41223889
Developing,75.6,126,8.33,7.63,94,59.2,0.794,16.5,479947
Developing,75.4,126,8.41,6.66,9,58.6,0.792,16.3,4382389
Developing,74.8,129,8.16,6.49,85,58,0.788,16.3,3997224
Developing,75.2,127,7.75,6.68,84,57.5,0.782,16.1,3955889
Developing,74.9,127,7.53,6.85,88,56.9,0.78,16.3,39145488
Developing,74.7,13,7.63,6.84,81,56.3,0.775,16.3,38728696
Developing,74.1,137,7.62,8.22,73,55.7,0.77,16.4,3839379
Developing,74.1,138,7.81,8.31,66,55.1,0.776,16.3,3788937
Developing,74,138,7.76,9.38,,54.6,0.771,15.6,3747159
Developing,74.1,137,7.68,9.21,,54,0.764,15,3757452
Developing,74.8,118,,,94,54.9,0.741,12.7,291695
Developing,74.6,12,3.91,4.48,93,54.1,0.739,12.7,29622
Developing,74.4,123,3.79,4.55,95,53.3,0.736,12.7,289359
Developing,74.4,121,3.89,4.48,95,52.6,0.732,12.7,2881922
Developing,73.9,128,4.09,3.71,95,51.9,0.729,12.7,2875581
Developing,73.5,132,4.23,4.56,94,51.2,0.72,12.3,2877311
Developing,73.3,137,3.96,4.55,93,5.7,0.725,11.9,2888584
Developing,73.2,14,3.96,3.8,89,5.1,0.721,12.3,29822
Developing,73.5,132,3.99,4.31,85,49.7,0.707,11.7,293356
Developing,72.9,141,4.01,4.58,78,49.2,0.692,11.2,29585
Developing,73,137,4.25,5.25,91,48.8,0.679,10.9,2981259
Developing,73,132,3.81,5.5,91,48.4,0.668,10.9,3612
Developing,72.7,134,3.03,5.56,93,48.1,0.657,10.8,31786
Developing,72.6,134,2.86,5.4,91,47.8,0.645,10.8,333897
Developing,72.6,141,2.86,5.94,69,47.4,0.644,11.1,35655
Developing,72,142,2.9,6.25,55,47.1,0.639,11.2,369588
Developed,82.8,59,,,93,66.6,0.937,20.4,23789338
Developed,82.7,6,9.71,9.42,91,66.1,0.936,20.4,2346694
Developed,82.5,61,9.87,9.36,91,65.5,0.933,20.3,23117353
Developed,82.3,61,10.03,9.36,91,65,0.93,20.1,22728254
Developed,82,63,10.3,9.2,92,64.4,0.927,19.8,223424
Developed,81.9,64,10.52,9.2,92,63.9,0.927,19.5,223175
Developed,81.7,66,10.62,9.5,94,63.4,0.925,19.1,216917
Developed,81.3,66,10.76,8.78,94,62.9,0.921,19.1,212492
Developed,81.3,66,10.56,8.53,94,62.5,0.918,19,28276
Developed,81.2,66,10.31,8.49,95,62,0.915,20.3,26979
Developed,81,67,10.3,8.45,95,61.5,0.91,20.3,23948
Developed,86,69,9.84,8.57,95,6.9,0.908,20.7,21274
Developed,83,71,9.97,8.32,95,6.3,0.905,20.6,198954
Developed,79.9,73,9.84,8.39,95,59.6,0.902,20.1,196514
Developed,79.9,75,9.53,8.18,94,59,0.899,20.5,19413
Developed,79.5,78,10.17,8.8,,58.2,0.897,20.4,19153
Developed,81.5,65,,,93,57.6,0.892,15.9,8633169
Developed,81.4,66,12.32,11.21,98,57.1,0.892,15.9,8541575
Developed,81.1,68,11.82,11.14,95,56.6,0.887,15.7,8479375
Developed,88,7,12.26,11.17,92,56.1,0.884,15.7,8429991
Developed,88,73,12.04,1.94,89,55.7,0.88,15.7,8391643
Developed,84,75,12.1,11.17,86,55.2,0.872,15.4,836344
Developed,82,77,11.3,11.19,83,54.7,0.87,15.3,8343323
Developed,84,76,12,1.6,83,54.2,0.864,15.1,8321496
Developed,81,8,12.5,1.4,85,53.7,0.86,15.2,8295487
Developed,79.8,81,12.4,1.35,83,53.2,0.854,15,8268641
Developed,79.4,85,12.4,1.53,86,52.7,0.848,14.9,8227829
Developed,79.3,86,12.1,1.56,83,52.2,0.841,14.7,8171966
Developed,78.8,88,12.2,1.48,83,51.7,0.837,14.7,8121423
Developed,78.7,9,12.5,1.27,81,51.2,0.847,16.1,881957
Developed,78.6,92,12.4,1.12,44,5.6,0.837,15.5,842293
Developed,78.1,96,13.2,1.6,33,5.1,0.833,15.4,811566
Developing,72.7,118,,,96,52.5,0.758,12.7,9649341
Developing,72.5,119,0.01,6.4,94,51.5,0.752,12.2,953579
Developing,72.2,121,2.14,5.54,93,5.6,0.745,11.9,941681
Developing,71.9,123,0.01,5.37,88,49.7,0.742,11.8,9295784
Developing,71.6,125,1.98,5.1,84,48.8,0.741,11.7,917382
Developing,71.1,13,1.98,5.33,8,48,0.737,11.7,954332
Developing,78,132,2.1,5.85,74,47.3,0.728,11.6,8947243
Developing,73,141,1.18,4.37,68,46.6,0.719,11.6,87634
Developing,73,14,1.02,5.1,62,45.9,0.708,11.6,85813
Developing,69.2,154,0.85,6.17,52,45.3,0.682,10.7,848455
Developing,68.4,162,0.73,7.86,49,44.7,0.675,11.2,839185
Developing,68.4,154,0.62,7.92,5,44.2,0.668,11,8365
Developing,67.8,154,0.55,6.56,51,43.6,0.659,10.8,82341
Developing,67.8,146,0.55,4.47,5,43.1,0.651,10.6,817195
Developing,67.5,151,0.51,4.48,,42.6,0.642,10.4,81112
Developing,66.6,16,0.65,4.67,,42.1,0.636,10.1,8486
Developing,76.1,147,,,95,64.5,0.79,12.6,
Developing,75.4,16,9.45,7.74,96,63.8,0.789,12.6,
Developing,74.8,172,9.42,7.5,97,63.2,0.79,12.6,
Developing,74.9,167,9.5,7.43,96,62.6,0.789,12.6,
Developing,75,162,9.34,7.63,95,62,0.788,12.6,
Developing,75,161,9.19,7.44,98,61.3,0.788,12.6,
Developing,74.6,168,9.29,7.43,95,6.7,0.791,12.6,
Developing,74.5,167,10.15,7.3,9,6.1,0.791,12.6,
Developing,74.4,167,10.75,7.8,93,59.4,0.79,12.5,
Developing,74.2,171,11.07,6.93,96,58.7,0.788,12.4,
Developing,74.1,172,10.49,5.95,93,58.1,0.786,12.4,
Developing,73.8,174,10.1,6.2,93,57.4,0.784,12.3,
Developing,73.2,189,10.68,5.62,88,56.7,0.783,12.2,
Developing,73.1,19,10.85,5.26,89,56,0.781,12.1,
Developing,72.9,189,11.64,5.15,21,55.2,0.779,12.1,
